Ticker,P/E Ratio,P/B Ratio,EV/EBITDA,FCF Yield,ROE,D/E Ratio,Interest Coverage,Profit Margin,EPS Growth,Revenue Growth,ROA,PEG
BRK.b,9.67,1.64,12.83,2.89%,18.62%,0.22,9.62,26.40%,—,20.68%,9.53%,#VALUE!
IBKR,30.01,5.07,5.16,11.92%,18.66%,4.10,1.92,80.86%,51.11%,87.72%,0.49%,58.72
JPM,13.91,2.17,—,14.32%,15.89%,2.56,—,20.58%,34.28%,51.91%,1.31%,40.58
FNF,23.01,2.15,—,39.07%,8.25%,0.57,—,4.39%,-59.16%,1.57%,0.76%,-38.89
V,32.51,6.09,24.5,3.06%,49.97%,0.55,37.69,54.16%,17.69%,10.02%,21.03%,183.72
EWBC,13.86,1.99,—,9.52%,17.95%,0.47,—,29.59%,3.36%,51.97%,1.74%,412.50
MA,39.97,65.35,29.6,2.33%,169.27%,2.47,25.54,44.57%,15.72%,13.08%,27.58%,254.26
RGA,21.33,1.37,—,26.47%,13.64%,0.46,—,4.85%,76.03%,14.55%,1.03%,28.05
BAC,17.36,1.35,—,1.36%,9.39%,2.5,—,0.15%,-3.39%,51.46%,0.85%,-512.09
JEF,34.00,1.63,7.92,-1.02%,2.75%,2.90,1.11,3.81%,-63.98%,-3.95%,0.51%,-53.14
WFC,16.08,1.57,—,1.58%,10.47%,1.63,—,16.47%,53.69%,49.32%,0.99%,29.95
UNM,8.25,1.28,—,0.77%,13.62%,0.32,—,10.32%,-6.69%,3.63%,2.45%,-123.32
GS,17.77,1.76,—,77.48%,7.28%,5.47,—,7.84%,-23.93%,61.60%,0.55%,-74.26
SF,21.07,2.45,11.36,4.76%,9.84%,0.40,10.30,10.13%,-19.55%,12.63%,1.38%,-107.77
AXP,22.48,7.24,10.28,7.89%,31.50%,1.85,8.87,12.33%,13.94%,21.13%,3.38%,161.26
EQH,—,9.19,—,-6.47%,60.46%,1.19,—,10.53%,-36.31%,-11.41%,0.50%,#VALUE!
SPGI,46.05,4.76,27.03,2.20%,7.44%,0.35,13.74,21.04%,-19.25%,11.77%,4.29%,-239.22
FHN,15.40,1.31,—,10.77%,10.40%,0.42,—,18.73%,0.41%,38.82%,1.12%,3756.10
C,20.14,0.68,—,-3.10%,4.45%,2.97,—,5.76%,-42.21%,54.63%,0.37%,-47.71
CG,180.45,3.45,45.32,4.57%,−10.66%,1.67,−3.74,-23.05%,-150.26%,-44.66%,−2.86%,-120.09
BX,65.89,33.41,46.25,0.76%,19.22%,1.77,.76,13.53%,-21.94%,-24.54%,3.36%,-300.32
KNSL,29.20,8.31,—,7.16%,33.63%,0.13,—,25.25%,92.12%,48.97%,10.25%,31.70
BLK,25.33,3.69,19.31,2.38%,14.27%,0.34,24.11,29.47%,7.48%,0.06,4.57%,338.64
EVR,39.92,7.60,22.79,3.60%,16.41%,0.55,22.66,10.47%,-45.13%,-12.10%,6.81%,-88.46
FI,42.91,4.57,17.26,3.09%,10.11%,0.92,4.91,6.13%,27.57%,0.08,3.51%,155.64
ALLY,15.78,0.97,—,12.49%,7.68%,1.27,—,6.44%,-40.76%,28.93%,0.53%,-38.71
SCHW,32.15,3.85,14.64,-3.23%,13.07%,1.18,3.21,9.87%,-27.52%,0.14,0.97%,-116.82
PRI,23.43,5.25,—,6.61%,30.32%,1.02,—,19.93%,29.22%,3.49%,4.92%,80.18
CB,11.81,1.77,—,11.87%,16.41%,0.31,—,18.06%,75.97%,0.16,4.67%,15.55
KKR,49.89,5.94,43.74,4.85%,18.39%,2.11,1.82,2.67%,—,-3.06,1.26%,#VALUE!
ICE,38.02,3.38,18.96,3.64%,9.78%,0.79,4.92,4.66%,62.61%,4.71,1.43%,60.73
PYPL,20.77,4.34,13.24,.84%,20.55%,0.66,13.99,14.32%,83.61%,9.70,5.28%,24.84
